estacao,ano,precip_total,rx1day,dias_chuva_forte,cdd,tmax_media
A432,2009,849.0000000000001,106.4,6,77,31.846417445482867
A432,2010,289.79999999999995,26.8,0,230,32.592372881355935
A432,2011,426.6,62.199999999999996,1,175,31.745092024539876
A432,2012,166.99999999999997,28.4,0,277,33.324043715847
A432,2013,477.19999999999993,38.6,0,181,33.095342465753426
A432,2014,527.4,42.4,0,127,32.218630136986306
A432,2015,401.6,32.8,0,174,33.575890410958905
A432,2016,416.80000000000007,38.6,0,171,32.98850574712644
A432,2017,497.6,41.0,0,153,32.64944444444444
A432,2018,470.8,30.799999999999997,0,174,32.36908077994429
A432,2019,191.0,26.4,0,85,33.57315634218289
A432,2020,339.79999999999995,34.0,0,256,30.94330708661418
A433,2008,349.0,62.4,1,74,30.197177419354837
A433,2009,865.5999999999999,89.6,4,54,30.266849315068498
A433,2010,471.4,48.0,0,57,31.005205479452055
A433,2011,435.4,51.400000000000006,1,69,30.606027397260277
A433,2012,249.39999999999998,25.4,0,56,31.67622950819672
A433,2013,589.6,75.8,2,45,31.1827397260274
A433,2014,639.6,110.4,1,48,30.773424657534246
A433,2015,254.60000000000002,48.8,0,72,31.98356545961003
A433,2016,678.8000000000001,59.00000000000001,3,125,31.469529085872576
A433,2017,580.0,86.4,2,40,31.13917808219178
A433,2018,600.4000000000001,76.0,1,113,31.24301369863014
A433,2019,424.6,92.4,2,45,32.22383561643836
A433,2020,956.1999999999999,70.6,2,35,30.59781420765027
A434,2009,908.8000000000001,60.4,1,22,28.246849315068495
A434,2010,1146.4,102.79999999999998,2,16,27.91506849315069
A434,2011,1018.0,64.2,1,13,27.441917808219177
A434,2012,582.8,26.2,0,26,27.98551912568306
A434,2013,773.4000000000001,52.2,1,18,27.7813698630137
A434,2014,758.6,42.800000000000004,0,95,27.42904109589041
A434,2015,916.4,112.2,3,22,28.5654794520548
A434,2016,817.5999999999999,42.4,0,19,28.35218579234973
A434,2017,682.4,20.8,0,21,27.55068493150685
A434,2018,679.2,61.0,1,53,27.929498525073747
A434,2019,879.8000000000001,123.6,2,19,28.63780821917808
A434,2020,1354.8,51.0,1,16,27.88060109289617
A435,2008,327.6,85.2,2,63,30.14203539823009
A435,2009,813.8,223.8,2,42,31.044109589041092
A435,2010,849.4,93.60000000000001,3,35,30.727123287671226
A435,2011,287.0,56.0,2,63,30.473150684931507
A435,2012,98.6,12.0,0,95,31.41502732240437
A435,2013,428.4,81.8,1,84,31.019726027397258
A435,2014,491.80000000000007,136.20000000000002,1,44,30.4375
A435,2015,295.79999999999995,40.199999999999996,0,76,31.48109589041096
A435,2016,455.40000000000003,83.60000000000001,2,77,31.395604395604394
A435,2017,254.39999999999998,28.4,0,37,30.702739726027396
A435,2018,310.2,60.8,1,51,31.12109589041096
A435,2019,295.8,39.6,0,86,31.347246376811594
A435,2020,626.3999999999999,63.800000000000004,1,41,30.349019607843132
A436,2008,245.8,54.4,1,68,30.513452914798208
A436,2009,628.4,72.4,1,40,31.74821917808219
A436,2010,1003.8,103.80000000000001,3,32,31.095616438356167
A436,2011,745.1999999999998,95.60000000000001,3,63,31.096866096866098
A436,2012,425.2,91.8,1,60,31.956010928961753
A436,2013,692.4,52.4,1,25,31.575722543352605
A436,2014,642.0,155.2,3,57,31.03153409090909
A436,2015,379.40000000000003,25.6,0,48,32.14630136986302
A436,2016,489.40000000000003,89.8,1,36,32.583333333333336
A436,2017,269.8,21.8,0,74,31.91616438356164
A436,2018,452.40000000000003,63.0,1,31,31.66151603498543
A436,2019,423.6,43.599999999999994,0,42,32.59890410958905
A436,2020,494.2,31.0,0,40,30.812244897959186
A437,2009,2028.7999999999997,89.2,7,12,28.35095890410959
A437,2010,1587.8,58.6,2,51,27.852351097178687
A437,2011,2918.2,142.4,10,12,27.304931506849314
A437,2012,1085.1999999999998,68.6,1,61,27.840437158469943
A437,2013,2315.3999999999996,142.6,8,9,27.896986301369857
A437,2014,1402.6000000000001,91.8,5,105,27.803835616438356
A437,2015,1433.2,76.8,3,20,28.802465753424656
